kode_spec;nama_perangkat;kode_id
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0693B
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;A0549B
B2WN0286917M;Adapter VeloCloud Edge 510;A0123B
B2WN0286830M;Tabletop,  with fan NCA-1515B-4C-8D-64S;A0053
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A0633
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A0885
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db);A0735
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;A0513
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;A0512
B2WN0150153M;ADAPTOR 12V 1A;A0149B
B2WN0286829M;Power Adapter NCA-1515B 12V=5A;A0108
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db);A0731
B2WN0286916M;Mandiri - Branches - VC-510 - Edge 510 Appliance ;A0237
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0762B
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module;A0486B
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A0807
B2WN0150153M;ADAPTOR 12V 1A;A0010B
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A1200B
B3CD0100238M;Power suply MODEM ORBIT ZTE ;A0073B
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module;A0458B
B2WN0286917M;Adapter VeloCloud Edge 510;A0180B
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0486B
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A1425
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;A0548B
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module;A0544B
B2WN0286830M;Tabletop,  with fan NCA-1515B-4C-8D-64S;A0087
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A1292B
B2WN0286830M;Versa Certified Hardware (Lanner NCA-1515B) Tabletop, with fanNCA-1515B-4C-8D-64S;A0403
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A1013
B2WN0286830M;Tabletop,  with fan NCA-1515B-4C-8D-64S;A0082
B3CD0100238M;Power suply MODEM ORBIT ZTE ;A0096B
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db);A0741
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;A0545
B3CD0100238M;Power suply MODEM ORBIT ZTE ;A0049B
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;A0413
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0880B
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0570B
B2WN0286829M;Power Adapter NCA-1515B 12V=5A;A0052
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0134B
B2WN0286917M;Adapter VeloCloud Edge 510;A0165B
B2WN0286916M;Mandiri - Branches - VC-510 - Edge 510 Appliance ;A0216
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM;A0718B
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;A0517B
B2WN0286916M;Mandiri - Branches - VC-510 - Edge 510 Appliance ;A0225
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A1471
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;A0514B
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical;A0547
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db);A0815
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module;A0312B
B2WN0286829M;Power Adapter NCA-1515B 12V=5A;A0064
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A1035
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A0770
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module;A0534B
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt;A0451B
B2WN0150153M;ADAPTOR 12V 1A;A0050B
B2WN0150153M;ADAPTOR 12V 1A;A0026B
B3CD0100238M;Power suply MODEM ORBIT ZTE ;A0048B
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router;A1222
B2WN0286509M;MIKROTIK CRS328-24P-4S+RM;A0010
B2WN00A0392M;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports);A0334
B2WS05A0001M;Router Huawei B315;A0056
B2WN0286290M;Mikrotik LtAP mini LTE kit - RB912R-2nD-LTm&R11e-LTE;A0092
B2WS028N0112;ROUTER MIKROTIK CCR1009-8G-1S-1S+;00079
B2WN0150152M;HUAAWEI Router B311As + Antena;A0406
B2WN0286595M;Router Mikrotik RB1100AHX4;A0065
B2WS028N0113;MIKROTIK RB951UI-2HND ( PN - ) ( PN - );A0845
B2WN0150152M;HUAAWEI Router B311As + Antena;A0252
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db) ;A0636
B2WS028N010B;ROUTERBOARD MIKROTIK ( PN - );00138
B2WN00A0392M;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports);A0160
B2WS028N0113;MIKROTIK RB951UI-2HND ( PN - ) ( PN - );A0853
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db) ;A0685
B2WS028N0113;MIKROTIK RB951UI-2HND ( PN - ) ( PN - );00584
B2WN00A0391M;AC power adaptors for FG/FWF-30G, come with interchangeable power plugs;A0218B
B2WS028N0119;MIKROTIK 952;00095
B2WN0150152M;HUAAWEI Router B311As + Antena;A0472
B2WN0286417M;PSU 12V, 3A FOR FORTIGATE 40 F;A0408B
B2WN0150152M;HUAAWEI Router B311As + Antena;A0333
B2WS028N0113;MIKROTIK RB951UI-2HND ( PN - ) ( PN - );00478
B2WS028N0110;MIKROTIK ROUTER RB1100AHX2 1U RACKMOUNT;00304
B2WN00A0392M;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports);A0157
B2WS028N010S;ROUTER MIKROTIK CCR1036-12G-4S-EM;A0010
B2WN0150152M;HUAAWEI Router B311As + Antena;A0255
B2WN0286595M;Router Mikrotik RB1100AHX4;A0064
B2WN0150152M;HUAAWEI Router B311As + Antena;A0405
B2WN0150152M;HUAAWEI Router B311As + Antena;A0251
B2WS028N0107;MIKROTIK ROUTER RB1100-1U;00154
B2WN00A0391M;AC power adaptors for FG/FWF-30G, come with interchangeable power plugs;A0236B
B2WS028N0110;MIKROTIK ROUTER RB1100AHX2 1U RACKMOUNT;00295
